movie,production_budget,domestic_gross,worldwide_gross,mpaa_rating,genre
The Hunger Games: Catching Fire,130000000,424668047,864868047,PG-13,Adventure
Ant-Man and the Wasp,130000000,216565229,617176819,PG-13,Action
Kung Fu Panda,130000000,215434591,631910531,PG,Adventure
Ant-Man,130000000,180202163,518860086,PG-13,Action
Home,130000000,177397510,386031994,PG,Adventure
Puss in Boots,130000000,149260504,554987477,PG,Adventure
Megamind,130000000,148415853,321887208,PG,Adventure
Bad Boys II,130000000,138540870,273271982,R,Action
Rio 2,130000000,131538435,492846291,G,Adventure
Noah,130000000,101200044,352831065,PG-13,Drama
The Adventures of Tintin,130000000,77591831,373993951,PG,Adventure
After Earth,130000000,60522097,251499665,PG-13,Action
Australia,130000000,49554002,215080810,PG-13,Drama
R.I.P.D.,130000000,33618855,79076678,PG-13,Action
Dinosaur,127500000,137748063,356148063,PG,Adventure
Logan,127000000,226277068,615476965,R,Action
X-Men 2,125000000,214949694,406875536,PG-13,Action
Fast Five,125000000,210031325,630163454,PG-13,Action
Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,PG-13,Action
The Day After Tomorrow,125000000,186740799,556319450,PG-13,Adventure
The Boss Baby,125000000,175003033,510888357,PG,Adventure
Clash of the Titans,125000000,163214888,493214888,PG-13,Action
Trolls,125000000,153707064,344527425,PG,Adventure
Godzilla,125000000,136314294,376000000,PG-13,Action
Prometheus,125000000,126477084,402448265,R,Adventure
Batman & Robin,125000000,107325195,238317814,PG-13,Action
Skyscraper,125000000,67796355,304034615,PG,Action
Assassin’s Creed,125000000,54647948,240497948,PG-13,Action
Monster Trucks,125000000,33370166,61642798,PG-13,Adventure
The 13th Warrior,125000000,32698899,61698899,R,Action
How the Grinch Stole Christmas,123000000,260044825,345141403,PG,Adventure
Mission: Impossible 2,120000000,215409889,549588516,PG-13,Action
The Perfect Storm,120000000,182618434,328711434,PG-13,Drama
Jason Bourne,120000000,162192920,416197059,PG-13,Action
Life of Pi,120000000,124987022,607258634,PG,Drama
Ghost Rider,120000000,115802596,229545589,PG-13,Action
Charlie's Angels: Full Throttle,120000000,100814328,227200000,PG-13,Action
Rampage,120000000,99345950,424745950,PG-13,Action
Elysium,120000000,93050117,286192091,R,Action
Power Rangers,120000000,85364450,142545357,PG-13,Action
Stuart Little 2,120000000,64956806,166000000,PG,Adventure
The Chronicles of Riddick,120000000,57712751,107212751,PG-13,Adventure
Speed Racer,120000000,43945766,93394462,PG,Action
The Island,120000000,35818913,163018913,PG-13,Action
Knight and Day,117000000,76423035,258751370,PG-13,Action
Star Wars Ep. I: The Phantom Menace,115000000,474544677,1027044677,PG,Adventure
The Wolverine,115000000,132556852,416456852,PG-13,Action
Dante's Peak,115000000,67163857,178200000,PG-13,Drama
The Huntsman: Winter’s War,115000000,48003015,165149302,PG-13,Action
Windtalkers,115000000,40914068,77628265,R,Action
Gulliver's Travels,112000000,42779261,232017848,PG,Adventure
Ferdinand,111000000,84410380,289867087,PG,Adventure
Deadpool 2,110000000,318491426,733809601,R,Action
Night at the Museum,110000000,250863268,579446407,PG,Adventure
Mr. and Mrs. Smith,110000000,186336279,486124090,PG-13,Action
San Andreas,110000000,155190832,457199280,PG-13,Adventure
The Smurfs,110000000,142614158,563749323,PG,Adventure
Live Free or Die Hard,110000000,134529403,382288147,PG-13,Action
The Divergent Series: Insurgent,110000000,130179072,295075882,PG-13,Action
Ocean's Twelve,110000000,125531634,362989076,PG-13,Adventure
Tomorrow Never Dies,110000000,125304276,339504276,PG-13,Action
The Patriot,110000000,113330342,215300000,R,Drama
300: Rise of an Empire,110000000,106580051,330780051,R,Action
The Green Hornet,110000000,98780042,229155503,PG-13,Action
Real Steel,110000000,85463309,263880341,PG-13,Action
The A-Team,110000000,77222099,177241171,PG-13,Action
The Smurfs 2,110000000,71017784,348547523,PG,Adventure
The Divergent Series: Allegiant,110000000,66184051,171871661,PG-13,Action
The Taking of Pelham 123,110000000,65452312,152364370,R,Action
Ender's Game,110000000,61737191,127983283,PG-13,Adventure
Home on the Range,110000000,50026353,76482461,PG,Adventure
Speed 2: Cruise Control,110000000,48097081,150468000,PG-13,Action
Kingdom of Heaven,110000000,47398413,218853353,R,Adventure
Ghost in the Shell,110000000,40563557,167918847,PG-13,Action
The Cat in the Hat,109000000,101018283,133818283,PG,Adventure
Ali,109000000,58183966,87683966,R,Drama
Allied,106000000,40098064,119285656,R,Drama
Stuart Little,105000000,140015224,298815224,PG,Adventure
The Princess and the Frog,105000000,104400899,270997378,G,Adventure
Ice Age: Collision Course,105000000,64063008,403092412,PG,Adventure
Kingsman: The Golden Circle,104000000,100234838,408822328,R,Action
Gone in 60 Seconds,103300000,101643008,232643008,PG-13,Action
The Hangover 3,103000000,112200072,362000072,R,Comedy
A Wrinkle in Time,103000000,100478608,133401882,PG,Adventure
Public Enemies,102500000,97104620,212282709,R,Drama
Casino Royale,102000000,167365000,594420283,PG-13,Action
Minority Report,102000000,132024714,358824714,PG-13,Action
Cloud Atlas,102000000,27108272,130673154,R,Drama
Terminator 2: Judgment Day,100000000,203464105,515419827,R,Action
Batman Forever,100000000,184031112,336529144,PG-13,Action
Planet of the Apes,100000000,180011740,362211740,PG-13,Adventure
National Treasure,100000000,173005002,331323410,PG,Adventure
Venom,100000000,171125095,461825095,PG-13,Action
Little Fockers,100000000,148438600,310650574,PG-13,Comedy
True Lies,100000000,146282411,365300000,R,Action
American Gangster,100000000,130164645,267985456,R,Drama
Cloudy with a Chance of Meatballs,100000000,124870275,236827677,PG,Adventure
The Other Guys,100000000,119219978,170936470,PG-13,Comedy
Epic,100000000,107518682,262794441,PG,Adventure
Eraser,100000000,101295562,234400000,R,Action
The Hunchback of Notre Dame,100000000,100138851,325500000,G,Adventure
The Emperor's New Groove,100000000,89296573,169296573,G,Adventure
The Expendables 2,100000000,85028192,311979256,R,Action
Where the Wild Things Are,100000000,77233467,99123656,PG,Adventure
Eragon,100000000,75030163,249488115,PG,Adventure
Hercules,100000000,72688614,243388614,PG-13,Action
End of Days,100000000,66889043,212026975,R,Action
The Stepford Wives,100000000,59475623,96221971,PG-13,Comedy
Surf's Up,100000000,58867694,145395745,PG,Adventure
Blood Diamond,100000000,57377916,171377916,R,Action
Starship Troopers,100000000,54768952,121100000,R,Action
Land of the Lost,100000000,49438370,69548641,PG-13,Comedy
Catwoman,100000000,40202379,82145379,PG-13,Action
The Expendables 3,100000000,39322544,209461378,PG-13,Action
Treasure Planet,100000000,38120554,91800000,PG,Adventure
Green Zone,100000000,35497337,97523020,R,Drama
Geostorm,100000000,33700160,220800160,PG-13,Action
In the Heart of the Sea,100000000,25020758,89693309,PG-13,Adventure
Son of the Mask,100000000,17018422,59918422,PG,Adventure
The Adventures of Pluto Nash,100000000,4411102,7094995,PG-13,Comedy
Jin líng shí san chai,100000000,311434,98227017,R,Drama
Wonder Park,100000000,0,0,PG,Adventure
The Peanuts Movie,99000000,130178411,250091610,G,Adventure
The Mummy Returns,98000000,202007640,435040395,PG-13,Adventure
Gangs of New York,97000000,77730500,183124621,R,Drama
Alien: Covenant,97000000,74262031,238521247,R,Horror
Cinderella,95000000,201151353,534551353,PG,Drama
Ice Age: Continental Drift,95000000,161321843,879765137,PG,Adventure
Black Hawk Down,95000000,108638745,159691085,R,Action
Sex and the City 2,95000000,95347692,294680778,R,Comedy
The Campaign,95000000,86907746,104907746,R,Comedy
Unstoppable,95000000,81562942,165720921,PG-13,Action
The Fifth Element,95000000,63570862,263898761,PG-13,Action
The Road to El Dorado,95000000,50802661,65700000,PG,Adventure
The Lovely Bones,95000000,44114232,94894448,PG-13,Drama
Seventh Son,95000000,17725785,109485785,PG-13,Adventure
Finding Nemo,94000000,380529370,936429370,G,Adventure
Lara Croft: Tomb Raider,94000000,131144183,273330185,PG-13,Adventure
Kingsman: The Secret Service,94000000,128261724,404561724,R,Action
Jurassic Park III,93000000,181166115,365900000,PG-13,Action
Rise of the Planet of the Apes,93000000,176760185,482860185,PG-13,Adventure
The Spiderwick Chronicles,92500000,71195053,162839667,PG,Adventure
The Incredibles,92000000,261441092,614726752,PG,Adventure
A Good Day to Die Hard,92000000,67349198,304249198,R,Action
Cutthroat Island,92000000,10017322,18517322,PG-13,Adventure
The Secret Life of Walter Mitty,91000000,58236838,187861183,PG,Adventure
Jumanji: Welcome to the Jungle,90000000,404508916,961758540,PG-13,Adventure
Men in Black,90000000,250690539,587790539,PG-13,Adventure
Toy Story 2,90000000,245852179,511358276,G,Adventure
Rush Hour 2,90000000,226164286,347425832,PG-13,Action
Sherlock Holmes,90000000,209028679,498438212,PG-13,Adventure
Ice Age: Dawn of the Dinosaurs,90000000,196573705,859701857,PG,Adventure
Rio,90000000,143619809,487519809,G,Adventure
The Departed,90000000,132384315,289660619,R,Drama
Charlie's Angels,90000000,125305545,259736090,PG-13,Action
Mulan,90000000,120620254,303500000,G,Adventure
Tropic Thunder,90000000,110515313,191145256,R,Comedy
Contact,90000000,100920329,165900000,PG,Drama
You Don't Mess With the Zohan,90000000,100018837,202910991,PG-13,Comedy
Die Hard: With a Vengeance,90000000,100012499,366101666,R,Action
Atlantis: The Lost Empire,90000000,84052762,186049020,PG,Adventure
Pixels,90000000,78765986,244041804,PG-13,Adventure
Artificial Intelligence: AI,90000000,78616689,235900000,PG-13,Drama
The Haunted Mansion,90000000,75817994,155750628,PG,Adventure
Hollow Man,90000000,73209340,191200000,R,Horror
Percy Jackson: Sea of Monsters,90000000,68559554,200859554,PG,Adventure
Spy Game,90000000,62362560,143049560,R,Action
The Saint,90000000,61363304,169400000,PG-13,Action
Mission to Mars,90000000,60874615,106000000,PG,Adventure
Bicentennial Man,90000000,58220776,87420776,PG,Drama
Tomb Raider,90000000,57421715,272648985,PG-13,Action
King Arthur,90000000,51877963,203877963,PG-13,Adventure
Volcano,90000000,47546796,120100000,PG-13,Action
K-19: The Widowmaker,90000000,35168966,65716126,PG-13,Action
The Promise,90000000,8224288,10551417,PG-13,Drama
Twister,88000000,241688385,495700000,PG-13,Action
Cinderella Man,88000000,61649911,105021488,PG-13,Drama
The Predator,88000000,50787159,127987159,R,Action
Fantastic Four,87500000,154696080,333132750,PG-13,Action
Hannibal,87000000,165092266,350100280,R,Horror
Seabiscuit,86000000,120277854,148715342,PG-13,Drama
Cast Away,85000000,233632142,427230516,PG-13,Drama
Happy Feet,85000000,198000317,385000317,PG,Adventure
Air Force One,85000000,172956409,315268353,R,Action
Fast & Furious,85000000,155064265,363064265,PG-13,Action
Horton Hears a Who,85000000,154529439,299477886,G,Adventure
Divergent,85000000,150947895,276014965,PG-13,Adventure
Hotel Transylvania,85000000,148313048,378505812,PG,Adventure
I Now Pronounce You Chuck and Larry,85000000,119725280,185708462,PG-13,Comedy
Ocean's Thirteen,85000000,117144465,311744465,PG-13,Adventure
Enemy of the State,85000000,111549836,250649836,R,Action
Open Season,85000000,85105259,191932158,PG,Adventure
Tower Heist,85000000,78046570,150422946,PG-13,Comedy
102 Dalmatians,85000000,66941559,66941559,G,Adventure
Mirror Mirror,85000000,64935167,173613482,PG,Adventure
Memoirs of a Geisha,85000000,57010853,161510853,PG-13,Drama
Enemy at the Gates,85000000,51396781,96971293,R,Drama
Last Action Hero,85000000,50016394,137298489,PG-13,Action
The Rundown,85000000,47641743,80831893,PG-13,Action
Arthur Christmas,85000000,46462469,149717124,PG,Adventure
xXx: Return of Xander Cage,85000000,44898413,345044476,PG-13,Action
Meet Joe Black,85000000,44650003,44650003,PG-13,Drama
Collateral Damage,85000000,40048332,78353508,R,Action
Showtime,85000000,37948765,78948765,PG-13,Comedy
Judge Dredd,85000000,34687912,113487912,R,Action
Scott Pilgrim vs. The World,85000000,31611316,48056764,PG-13,Comedy
The Core,85000000,31111260,74132631,PG-13,Action
Father's Day,85000000,28681080,35681080,PG-13,Comedy
Scooby-Doo,84000000,153294164,276294164,PG,Adventure
Nutty Professor II: The Klumps,84000000,123307945,166307945,PG-13,Comedy
RED 2,84000000,53262560,141507355,PG-13,Action
Click,82500000,137355633,237685089,PG-13,Comedy
Charlotte's Web,82500000,82985708,143985708,G,Drama
Jumper,82500000,80172128,222640812,PG-13,Adventure
Hellboy II: The Golden Army,82500000,75986503,160388063,PG-13,Action
The Longest Yard,82000000,158119460,191558505,PG-13,Comedy
The Expendables,82000000,103068524,268268174,R,Action
The 6th Day,82000000,34543701,96024898,PG-13,Action
Bruce Almighty,81000000,242704995,484468608,PG-13,Comedy
The Hangover Part II,80000000,254464305,586464305,R,Comedy
Mission: Impossible,80000000,180981886,457697994,PG-13,Action
The Lego Batman Movie,80000000,175750384,310692896,PG,Adventure
Hotel Transylvania 2,80000000,169700110,469500298,PG,Adventure
Batman Returns,80000000,162833635,266824291,PG-13,Action
The Mummy,80000000,155385488,416385488,PG-13,Adventure
Over the Hedge,80000000,155019340,343397247,PG,Adventure
Lilo & Stitch,80000000,145771527,245800000,PG,Adventure
Deep Impact,80000000,140464664,349464664,PG-13,Adventure
Grown Ups 2,80000000,133668525,247023808,PG-13,Comedy
Get Smart,80000000,130319208,226739416,PG-13,Comedy
Robots,80000000,128200012,260700012,PG,Adventure
Four Christmases,80000000,120146040,168311558,PG-13,Comedy
Face/Off,80000000,112276146,241200000,R,Action
Bedtime Stories,80000000,110101975,221468935,PG,Adventure
Road to Perdition,80000000,104054514,183354514,R,Drama
Daredevil,80000000,102543518,182782518,PG-13,Action
Con Air,80000000,101117573,224117573,R,Action
Yogi Bear,80000000,100246011,204774690,PG,Adventure
Cold Mountain,80000000,95632614,165173909,R,Drama
The Book of Eli,80000000,94835059,158750817,R,Action
Flubber,80000000,92993801,177993801,PG,Comedy
The Haunting,80000000,91188905,180188905,PG-13,Horror
Space Jam,80000000,90463534,250200000,PG,Adventure
Fury,80000000,85817906,210315681,R,Drama
The Pink Panther,80000000,82226474,158926474,PG,Adventure
The Day the Earth Stood Still,80000000,79366978,233066978,PG-13,Adventure
Spirit: Stallion of the Cimarron,80000000,73215310,106515310,G,Adventure
Swordfish,80000000,69772969,147080413,R,Action
Lost In Space,80000000,69117629,136047317,PG-13,Adventure
Smallfoot,80000000,66361035,137161035,PG,Adventure
Bewitched,80000000,63313159,131159306,PG-13,Comedy
The Time Machine,80000000,56684819,98983590,PG-13,Adventure
What Dreams May Come,80000000,55485043,71485043,PG-13,Drama
Mighty Joe Young,80000000,50632037,50632037,PG,Adventure
The Legend of Zorro,80000000,45575336,141475336,PG,Adventure
Little Nicky,80000000,39442871,58270391,PG-13,Comedy
Surrogates,80000000,38577772,119668350,PG-13,Action
Evolution,80000000,38311134,98341932,PG-13,Comedy
The Brothers Grimm,80000000,37899638,105299638,PG-13,Adventure
Mars Attacks!,80000000,37771017,101371017,PG-13,Comedy
The Wild,80000000,37384046,99010667,G,Adventure
Walking with Dinosaurs,80000000,36076121,123386322,PG,Adventure
Thirteen Days,80000000,34566746,66554547,PG-13,Drama
Daylight,80000000,32908290,158908290,PG-13,Action
The Last Witch Hunter,80000000,27367660,131437876,PG-13,Action
Pompeii,80000000,23169033,108469033,PG-13,Drama
Looney Tunes: Back in Action,80000000,20950820,54540662,PG,Adventure
Timeline,80000000,19480739,26703184,PG-13,Adventure
Babe: Pig in the City,80000000,18319860,69131860,G,Adventure
The Postman,80000000,17650704,20841123,R,Action
Red Planet,80000000,17480890,33463969,PG-13,Action
Arthur et les Minimoys,80000000,15132763,113325743,PG,Adventure
A Sound of Thunder,80000000,1900451,6300451,PG-13,Action
The Lion King,79300000,421785283,986332275,G,Adventure
Journey 2: The Mysterious Island,79000000,103860290,318146162,PG,Adventure
Jack and Jill,79000000,74158157,150519217,PG,Comedy
A Beautiful Mind,78000000,170708996,317668058,PG-13,Drama
Cloudy with a Chance of Meatballs 2,78000000,119793567,274392649,PG,Adventure
Exorcist: The Beginning,78000000,41814863,43957541,R,Horror
The Little Prince,77500000,1311213,102029819,PG,Adventure
Despicable Me 2,76000000,368065385,975216835,PG,Adventure
2 Fast 2 Furious,76000000,127120058,236410607,PG-13,Action
The Secret Life of Pets,75000000,368384330,886767422,PG,Adventure
Independence Day,75000000,306169255,817400878,PG-13,Adventure
Sing,75000000,270329045,634547945,PG,Adventure
Despicable Me 3,75000000,264624300,1034520868,PG,Adventure
The Lost World: Jurassic Park,75000000,229086679,618638999,PG-13,Action
Ice Age: The Meltdown,75000000,195330621,651899282,PG,Adventure
Madagascar,75000000,193595521,556559566,PG,Adventure
Grown Ups,75000000,162001186,272223430,PG-13,Comedy
Shark Tale,75000000,161412000,371917043,PG,Adventure
X-Men,75000000,157299717,296872367,PG-13,Action
Wanted,75000000,134508551,342416460,R,Action
The Rock,75000000,134069511,336069511,R,Action
Christopher Robin,75000000,98677443,186977443,PG,Adventure
Inspector Gadget,75000000,97387965,97387965,PG,Adventure
Immortals,75000000,83504017,211562435,R,Action
The Terminal,75000000,77073959,218673959,PG-13,Drama
Constantine,75000000,75976178,221594911,R,Action
Monster House,75000000,73661010,141267370,PG,Adventure
Vertical Limit,75000000,68473360,213500000,PG-13,Action
Charlie Wilson's War,75000000,66661095,119512771,R,Drama
Be Cool,75000000,55849401,94944017,PG-13,Comedy
Munich,75000000,47379090,131492772,R,Drama
Killers,75000000,47059963,95572749,PG-13,Action
The Man From U.N.C.L.E.,75000000,45445109,105445109,PG-13,Action
Tears of the Sun,75000000,43632458,85632458,R,Action
Lady in the Water,75000000,42285169,72785169,PG-13,Drama
Spanglish,75000000,42044321,54344321,PG-13,Comedy
Anna and the King,75000000,39251128,39251128,PG-13,Drama
First Knight,75000000,37361412,127361412,PG-13,Drama
Sucker Punch,75000000,36392502,89758389,PG-13,Action
Hostage,75000000,34636443,77636443,R,Action
Hollywood Homicide,75000000,30207785,50409753,PG-13,Action
Titan A.E.,75000000,22751979,36751979,PG,Adventure
Flight of the Phoenix,75000000,21009180,34009180,PG-13,Adventure
Soldier,75000000,14623082,14623082,R,Action
Virus,75000000,14010690,30626690,R,Action
Monkeybone,75000000,5409517,5409517,PG-13,Comedy
Minions,74000000,336045770,1162781621,PG,Adventure
The Angry Birds Movie,73000000,107509366,352829528,PG,Adventure
Sphere,73000000,37068294,50168294,PG-13,Horror
The Simpsons Movie,72500000,183135014,527071022,PG-13,Adventure
Fool's Gold,72500000,70231041,109362966,PG-13,Adventure
Funny People,72500000,51855045,71880305,R,Comedy
The Kingdom,72500000,47467250,86509602,R,Action
Dr. Dolittle 2,72000000,112950721,176101721,PG,Adventure
Braveheart,72000000,75545647,209045244,R,Drama
Jarhead,72000000,62647540,96947540,R,Drama
Driven,72000000,32616869,54616869,PG-13,Action
The Majestic,72000000,27796042,37306334,PG,Drama
Two Brothers,72000000,19176754,62176754,PG,Drama
Doctor Dolittle,71500000,144156605,294156605,PG-13,Adventure
Shrek 2,70000000,441226247,937008132,PG,Adventure
Cars,70000000,244082982,461651246,G,Adventure
Who Framed Roger Rabbit?,70000000,154112492,351500000,PG,Adventure
xXx,70000000,141930000,267200000,PG-13,Action
Ocean’s 8,70000000,139377762,296277762,PG-13,Action
Ransom,70000000,136492681,308700000,R,Action
Inglourious Basterds,70000000,120774594,316915264,R,Action
Hook,70000000,119654823,300854823,PG,Adventure
Die Hard 2,70000000,117323878,239814025,R,Action
S.W.A.T.,70000000,116877597,207154748,PG-13,Action
Daddy’s Home 2,70000000,104029443,175809810,PG-13,Comedy
Sleepy Hollow,70000000,101068340,207068340,R,Horror
Battle: Los Angeles,70000000,83552429,213463976,PG-13,Action
AVP: Alien Vs. Predator,70000000,80281096,172543519,PG-13,Horror
War Horse,70000000,79883359,156815529,PG-13,Drama
We Were Soldiers,70000000,78120196,114658262,R,Drama
The Monuments Men,70000000,78031620,158702748,PG-13,Drama
Storks,70000000,72679278,174030321,PG,Adventure
Star Trek: Insurrection,70000000,70187658,117800000,PG,Adventure
Big Fish,70000000,66432867,123954323,PG-13,Drama
Underworld: Awakening,70000000,62321039,160379930,R,Action
The Lego Ninjago Movie,70000000,59281555,122739546,PG,Adventure
Dracula Untold,70000000,55991880,220241723,PG-13,Action
The Guardian,70000000,55011732,94973540,PG-13,Action
The Abyss,70000000,54243125,54243125,PG-13,Action
Wall Street 2: Money Never Sleeps,70000000,52474616,137431619,PG-13,Drama
The Dilemma,70000000,48475290,70546865,PG-13,Comedy
Rumor Has It,70000000,42996140,88933562,PG-13,Comedy
The Siege,70000000,40934175,116625798,R,Action
Stardust,70000000,38634938,137022245,PG-13,Adventure
Seven Years in Tibet,70000000,37945884,131445884,PG-13,Drama
The Brave One,70000000,36793804,69792704,R,Drama
I Spy,70000000,33561137,60279822,PG-13,Action
Bad Company,70000000,30157016,69157016,PG-13,Action
Doom,70000000,28212337,54612337,R,Horror
Killer Elite,70000000,25124986,65409046,R,Action
Hard Rain,70000000,19870567,19870567,R,Action
Hart's War,70000000,19076815,33076815,R,Drama
Rollerball,70000000,18990542,25852508,PG-13,Action
The Legend of Hercules,70000000,18848538,58953319,PG-13,Adventure
Ballistic: Ecks vs. Sever,70000000,14294842,14294842,R,Action
Osmosis Jones,70000000,13596911,13596911,PG,Adventure
Legends of Oz: Dorothy’s Return,70000000,8462347,20107933,PG,Adventure
Agora,70000000,619423,38992292,R,Drama
Despicable Me,69000000,251513985,543464573,PG,Adventure
Dinner for Schmucks,69000000,73026337,86796502,PG-13,Comedy
The Twilight Saga: Eclipse,68000000,300531751,706102828,PG-13,Drama
The Sum of All Fears,68000000,118471320,193500000,PG-13,Action
Ted 2,68000000,81476385,217214143,R,Comedy
Hall Pass,68000000,45060734,87173475,R,Comedy
Money Train,68000000,35324232,77224232,R,Action
Dreamcatcher,68000000,33685268,75685268,R,Drama
Mystery Men,68000000,29762011,33462011,PG-13,Comedy
